Date ,open,high ,low,close ,volume
5/31/2019,185.1,189.92,184.1,185.16,10406730
5/30/2019,188.75,192.255,187.02,188.22,7926475
5/29/2019,187.1,192.39,185.04,189.86,11968640
5/28/2019,191.2,195,187.85,188.7,10312900
5/24/2019,199.83,199.98,188.7505,190.63,14136570
5/23/2019,194.34,199.465,186.22,195.49,26547140
5/22/2019,199.1,203.94,191.78,192.73,18685190
5/21/2019,197.76,207.4,196.04,205.08,18003900
5/20/2019,202.8,206,195.25,205.36,20526200
5/17/2019,221.96,222.24,208.92,211.03,17786670
5/16/2019,229.49,231,226.5,228.33,7483273
5/15/2019,229.32,232.44,225.25,231.95,7295976
5/14/2019,229.3,234.5,228,232.31,7252412
5/13/2019,232.01,232.47,224.5,227.01,10834800
5/10/2019,239.75,241.99,236.02,239.52,7008336
5/9/2019,242,243.68,236.943,241.98,6711382
5/8/2019,246.94,250.599,244.2,244.84,6176440
5/7/2019,256.8,257.21,245.1,247.06,10131410
5/6/2019,250.02,258.35,248.5,255.34,10833940
5/3/2019,243.86,256.61,243.49,255.03,23706770
5/2/2019,245.52,247.13,237.72,244.1,18159340
5/1/2019,238.85,240,231.5,234.01,10704350
4/30/2019,242.06,244.21,237,238.69,9446965
4/29/2019,235.86,243.98,232.17,241.47,16686620
4/26/2019,246.5,246.68,231.13,235.14,22151160
4/25/2019,255,259,246.07,247.63,21823380
4/24/2019,263.85,265.32,258,258.66,9657061
4/23/2019,260.15,265.6,255.75,263.9,10909350
4/22/2019,269,269.68,262.48,262.75,12101690
4/18/2019,271.23,274.84,269.75,273.26,5861478
4/17/2019,274.75,274.79,268.535,271.23,5118011
4/16/2019,265.75,275,264.72,273.36,7266504
4/15/2019,268.63,268.88,258.63,266.38,10032490
4/12/2019,270.22,271.95,266.83,267.7,6735386
4/11/2019,268.3,270.5,265.6,268.42,9781294
4/10/2019,276.74,278.38,272.8925,276.06,7045034
4/9/2019,271.65,275,269.61,272.31,5893247
4/8/2019,277.69,281.16,270.44,273.2,10364600
4/5/2019,269.86,276.1,266.11,274.96,13022740
4/4/2019,261.89,271.2,260.59,267.78,23680170
4/3/2019,287.32,296.17,287.17,291.81,7916650
4/2/2019,288.3,289.44,283.88,285.88,5427184
4/1/2019,282.62,289.2,281.281,289.18,8093134
3/29/2019,278.7,280.16,274.5,279.86,5980355
3/28/2019,277.16,280.33,275.1,278.62,6764921
3/27/2019,268.75,275.37,268.1838,274.83,8752384
3/26/2019,264.44,270.26,264.43,267.77,7341868
3/25/2019,259.71,263.18,254.46,260.42,10205080
3/22/2019,272.58,272.8,264,264.53,8721950
3/21/2019,272.6,276.45,268.45,274.02,5930925
3/20/2019,269.69,274.97,266.3,273.6,6881976
3/19/2019,267.5,273.3,263.46,267.47,11774330
3/18/2019,276,278.05,267.3,269.49,10264960
3/15/2019,283.51,283.7244,274.4,275.43,14757360
3/14/2019,292.45,295.39,288.29,289.96,7048138
3/13/2019,283.9,291.99,282.7,288.96,6817854
3/12/2019,286.49,288.07,281.06,283.36,7488037
3/11/2019,283.52,291.28,280.5,290.92,7372298
3/8/2019,276.91,285.59,275.89,284.14,8805772
3/7/2019,278.84,284.7,274.25,276.59,9410697
3/6/2019,276.48,281.5058,274.39,276.24,10319370
3/5/2019,282,284,270.1,276.54,18729800
3/4/2019,298.12,299,282.78,285.36,17068890
3/1/2019,306.94,307.13,291.9,294.79,22848750
2/28/2019,318.92,320,310.81,319.88,9666224
