close,volume,open,high,low
208.43,"54,017,922",214.02,218.03,206.7435
208.43,54017920,213.9,218.03,206.7435
213.04,69281360,216.42,221.37,211.3
208.78,33935720,208.76,210.16,207.31
209.68,21673390,208.46,210.64,208.44
207.74,17618870,207.48,209.73,207.14
207.02,13909560,208.89,209.24,206.73
208.67,14991570,207.67,209.15,207.17
208.84,18355210,208.46,208.91,207.29
207.22,22277930,203.65,207.23,203.61
202.59,20929310,205.79,206.5,202.36
205.66,18582160,204,205.88,203.7
203.35,14107450,204.05,205.0915,203.27
204.5,16866820,204.59,206.11,203.5
205.21,16947420,204.09,205.87,204
203.3,17595210,202.45,204,202.2
201.75,20191840,203.31,204.39,201.71
203.23,17897140,201.85,203.73,201.56
201.24,20578020,199.2,201.51,198.81
200.02,25338630,200.81,201.4,198.41
204.23,17265520,203.35,205.08,202.9
204.41,11362050,203.28,204.44,202.6901
